ft	Name	Install Time	Update Time	Install Originator	Installer	Code Path	Public Flags	Private Flags
2020-08-05 00:52:49	com.android.cts.priv.ctsshim	2020-08-05 00:52:49	2020-08-05 00:52:49			/system/priv-app/CtsShimPrivPrebuilt	0xb808be41	0x8
2020-08-05 00:52:59	com.google.android.youtube	2020-08-05 00:52:59	2020-08-05 00:52:59			/system/app/YouTube	0x305bbe45	0x0
2020-08-05 00:52:52	com.android.internal.display.cutout.emulation.corner	2020-08-05 00:52:52	2020-08-05 00:52:52			/vendor/overlay/DisplayCutoutEmulationCorner	0x3008be41	0x40000
2020-08-05 01:10:29	com.google.android.ext.services	2020-08-05 01:10:29	2020-08-05 01:10:29			/system/priv-app/GoogleExtServices	0x3008be45	0x8
2020-08-05 00:52:51	com.android.internal.display.cutout.emulation.double	2020-08-05 00:52:51	2020-08-05 00:52:51			/vendor/overlay/DisplayCutoutEmulationDouble	0x3008be41	0x40000
2020-08-05 01:12:15	com.android.providers.telephony	2020-08-05 01:12:15	2020-08-05 01:12:15			/system/priv-app/TelephonyProvider	0x3c0bbe05	0x8
2020-08-05 00:53:03	com.google.android.googlequicksearchbox	2020-08-05 00:53:03	2020-08-05 00:53:03			/system/priv-app/Velvet	0x385bbe45	0x8
2020-08-05 01:10:49	com.android.providers.calendar	2020-08-05 01:10:49	2020-08-05 01:10:49			/system/priv-app/CalendarProvider	0x30083e45	0x8
2020-08-05 01:10:46	com.android.providers.media	2020-08-05 01:10:46	2020-08-05 01:10:46			/system/priv-app/MediaProvider	0x30483e45	0x8
2020-08-05 01:10:35	com.google.android.onetimeinitializer	2020-08-05 01:10:35	2020-08-05 01:10:35			/system/priv-app/GoogleOneTimeInitializer	0x3008be45	0x8
2020-08-05 01:12:26	com.google.android.ext.shared	2020-08-05 01:12:26	2020-08-05 01:12:26			/system/app/GoogleExtShared	0x30083e45	0x0
2020-08-05 01:11:13	com.android.documentsui	2020-08-05 01:11:13	2020-08-05 01:11:13			/system/priv-app/DocumentsUI	0x3049be45	0x8
2020-08-05 01:10:27	com.android.externalstorage	2020-08-05 01:10:27	2020-08-05 01:10:27			/system/priv-app/ExternalStorageProvider	0x3008be45	0x8
2020-08-05 01:12:33	com.android.htmlviewer	2020-08-05 01:12:33	2020-08-05 01:12:33			/system/app/HTMLViewer	0x3808be45	0x0
2020-08-05 01:10:03	com.android.companiondevicemanager	2020-08-05 01:10:03	2020-08-05 01:10:03			/system/app/CompanionDeviceManager	0x30483e45	0x0
2020-08-05 01:12:11	com.android.mms.service	2020-08-05 01:12:11	2020-08-05 01:12:11			/system/priv-app/MmsService	0x3808be45	0x8
2020-08-05 01:10:45	com.android.providers.downloads	2020-08-05 01:10:45	2020-08-05 01:10:45			/system/priv-app/DownloadProvider	0x38483e45	0x8
2020-08-05 00:52:54	com.google.android.apps.messaging	2020-08-05 00:52:54	2020-08-05 00:52:54			/system/app/PrebuiltBugle	0x384bbe45	0x0
2023-09-19 20:08:40	com.discord	2023-09-19 20:08:41.046000	2023-09-19 20:08:41.046000			/data/app/com.discord-KLUcW-znRrAEKSMAOtHViQ==	0x20183e44	0x0
2020-08-05 01:12:57	com.google.android.configupdater	2020-08-05 01:12:57	2020-08-05 01:12:57			/system/priv-app/ConfigUpdater	0x38083e45	0x8
2020-08-05 01:10:19	com.android.defcontainer	2020-08-05 01:10:19	2020-08-05 01:10:19			/system/priv-app/DefaultContainerService	0x30083e45	0x8
2020-08-05 01:10:19	com.android.providers.downloads.ui	2020-08-05 01:10:19	2020-08-05 01:10:19			/system/priv-app/DownloadProviderUi	0x3048be45	0x8
2020-08-05 01:12:53	com.android.vending	2020-08-05 01:12:53	2020-08-05 01:12:53			/system/app/LicenseChecker	0x3008be45	0x0
2020-08-05 01:16:49	com.android.pacprocessor	2020-08-05 01:16:49	2020-08-05 01:16:49			/system/app/PacProcessor	0x3008be45	0x0
2020-08-05 01:12:56	com.android.simappdialog	2020-08-05 01:12:56	2020-08-05 01:12:56			/system/app/SimAppDialog	0x3008be45	0x0
2020-08-05 00:52:52	com.android.internal.display.cutout.emulation.tall	2020-08-05 00:52:52	2020-08-05 00:52:52			/vendor/overlay/DisplayCutoutEmulationTall	0x3008be41	0x40000
2020-08-05 01:10:14	com.android.certinstaller	2020-08-05 01:10:14	2020-08-05 01:10:14			/system/app/CertInstaller	0x30083e45	0x0
2020-08-05 01:11:56	com.android.carrierconfig	2020-08-05 01:11:56	2020-08-05 01:11:56			/system/priv-app/CarrierConfig	0x30083e45	0x8
2023-09-19 19:55:34	com.ticno.olymptrade	2023-09-19 19:55:34.333000	2023-09-19 19:55:34.333000			/data/app/com.ticno.olymptrade-lKDfBXc8qLNF9F2eXSyBwg==	0x30083e44	0x0
2020-08-05 00:52:55	android	2020-08-05 00:52:55	2020-08-05 00:52:55			/system/framework/framework-res.apk	0x3048be09	0x8
2020-08-05 01:13:42	com.android.contacts	2020-08-05 01:13:42	2020-08-05 01:13:42			/system/priv-app/Contacts	0x3048be45	0x8
2020-08-05 01:13:33	com.android.camera2	2020-08-05 01:13:33	2020-08-05 01:13:33			/system/app/Camera2	0x3058bc45	0x0
2020-08-05 00:52:53	com.google.android.apps.inputmethod.hindi	2020-08-05 00:52:53	2020-08-05 00:52:53			/system/app/GoogleHindiIME	0x3808be45	0x0
2020-08-05 00:52:56	com.android.egg	2020-08-05 00:52:56	2020-08-05 00:52:56			/system/app/EasterEgg	0x3008be45	0x0
2020-08-05 01:10:38	com.android.mtp	2020-08-05 01:10:38	2020-08-05 01:10:38			/system/priv-app/MtpDocumentsProvider	0x3008be45	0x8
2020-08-05 01:10:30	com.android.nfc	2020-08-05 01:10:30	2020-08-05 01:10:30			/system/app/NfcNci	0x1048be45	0x0
2020-08-05 01:10:16	com.android.backupconfirm	2020-08-05 01:10:16	2020-08-05 01:10:16			/system/priv-app/BackupRestoreConfirmation	0x30083e05	0x8
2020-08-05 00:52:52	com.google.android.deskclock	2020-08-05 00:52:52	2020-08-05 00:52:52			/system/app/PrebuiltDeskClockGoogle	0x384bbe45	0x0
2020-08-05 01:10:39	com.android.statementservice	2020-08-05 01:10:39	2020-08-05 01:10:39			/system/priv-app/StatementService	0x30083e45	0x8
2020-08-05 00:52:53	com.google.android.gm	2020-08-05 00:52:53	2020-08-05 00:52:53			/system/app/PrebuiltGmail	0x384bbe45	0x0
2020-08-05 01:13:10	com.android.settings.intelligence	2020-08-05 01:13:10	2020-08-05 01:13:10			/system/priv-app/SettingsIntelligence	0x3048be45	0x8
2020-08-05 00:52:51	com.android.systemui.theme.dark	2020-08-05 00:52:51	2020-08-05 00:52:51			/vendor/overlay/SysuiDarkTheme	0x3008be41	0x40000
2020-08-05 01:13:51	com.google.android.setupwizard	2020-08-05 01:13:51	2020-08-05 01:13:51			/system/priv-app/SetupWizard	0x38483e05	0x8
2020-08-05 01:12:21	com.android.providers.settings	2020-08-05 01:12:21	2020-08-05 01:12:21			/system/priv-app/SettingsProvider	0x300abe05	0x8
2020-08-05 01:10:27	com.android.sharedstoragebackup	2020-08-05 01:10:27	2020-08-05 01:10:27			/system/priv-app/SharedStorageBackup	0x3009be05	0x8
2020-08-05 00:52:53	com.google.android.music	2020-08-05 00:52:53	2020-08-05 00:52:53			/system/app/Music2	0x384bbe65	0x0
2020-08-05 01:16:49	com.android.printspooler	2020-08-05 01:16:49	2020-08-05 01:16:49			/system/app/PrintSpooler	0x30483e45	0x0
2020-08-05 01:09:50	com.android.dreams.basic	2020-08-05 01:09:50	2020-08-05 01:09:50			/system/app/BasicDreams	0x3008be45	0x0
2020-08-05 01:10:14	com.android.se	2020-08-05 01:10:14	2020-08-05 01:10:14			/system/app/SecureElement	0x3008be4d	0x0
2020-08-05 01:12:26	com.android.inputdevices	2020-08-05 01:12:26	2020-08-05 01:12:26			/system/priv-app/InputDevices	0x3008be05	0x8
2020-08-05 01:10:38	com.google.android.dialer	2020-08-05 01:10:38	2020-08-05 01:10:38			/system/priv-app/GoogleDialer	0x204bbe45	0x8
