Name	Package	Protection
android.permission.SET_ANIMATION_SCALE	android	50
com.google.android.gms.permission.AD_ID_NOTIFICATION	com.google.android.gms	
android.permission.WATCH_APPOPS	android	2
android.permission.GET_TASKS	android	
android.permission.BIND_CACHE_QUOTA_SERVICE	android	2
android.permission.BROADCAST_NETWORK_PRIVILEGED	android	18
android.permission.ACCESS_SURFACE_FLINGER	android	2
android.permission.SUBSCRIBED_FEEDS_WRITE	android	
android.permission.AUTHENTICATE_ACCOUNTS	android	
android.permission.INTERNET	android	4096
android.permission.BIND_RESOLVER_RANKER_SERVICE	android	2
com.android.vending.CHECK_LICENSE	com.android.vending	
android.permission.TV_INPUT_HARDWARE	android	18
com.android.vending.INTENT_VENDING_ONLY	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.knol	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.mail	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.news	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.talk	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.wifi	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.wise	com.google.android.gsf	2
android.permission.TRANSMIT_IR	android	
com.google.android.gms.permission.C2D_MESSAGE	com.google.android.gms	2
android.permission.RETRIEVE_WINDOW_CONTENT	android	18
com.google.firebase.auth.api.gms.permission.LAUNCH_FEDERATED_SIGN_IN	com.google.android.gms	2
com.breel.wallpapers.notifications	com.android.systemui	
android.permission.REORDER_TASKS	android	
android.permission.ACCESS_BROADCAST_RADIO	android	18
com.android.browser.permission.READ_HISTORY_BOOKMARKS	android	
android.permission.GET_INTENT_SENDER_INTENT	android	2
com.google.android.gms.nearby.exposurenotification.EXPOSURE_CALLBACK	com.google.android.gms	2
com.android.chrome.permission.CHILD_SERVICE	com.android.chrome	2
com.ticno.olymptrade.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.ticno.olymptrade	2
com.google.android.gms.permission.PHENOTYPE_OVERRIDE_FLAGS	com.google.android.gms	2
com.google.android.videos.permission.C2D_MESSAGE	com.google.android.videos	2
android.permission.REQUEST_COMPANION_RUN_IN_BACKGROUND	android	
android.permission.BLUETOOTH_ADMIN	android	
android.permission.CONTROL_VPN	android	18
android.permission.UPDATE_DEVICE_STATS	android	18
android.permission.BLUETOOTH_STACK	android	2
android.permission.BLUETOOTH_MAP	android	2
android.permission.READ_PRECISE_PHONE_STATE	android	18
com.google.android.gms.auth.api.signin.permission.REVOCATION_NOTIFICATION	com.google.android.gms	2
com.google.android.gms.magictether.permission.CONNECTED_HOST_CHANGED	com.google.android.gms	2
android.permission.MANAGE_FINGERPRINT	android	18
com.google.android.googleapps.permission.GOOGLE_AUTH.YouTubeUser	com.google.android.gsf	2
com.google.android.partnersetup.permission.UPDATE_CLIENT_ID	com.google.android.partnersetup	18
com.google.android.gms.permission.CONTACTS_SYNC_DELEGATION	com.google.android.gms	2
android.permission.WRITE_EMBEDDED_SUBSCRIPTIONS	android	50
android.permission.RECOVER_KEYSTORE	android	18
com.google.android.googleapps.permission.GOOGLE_AUTH.androidsecure	com.google.android.gsf	2
android.permission.NET_ADMIN	android	2
com.google.android.gms.permission.GAMES_DEBUG_SETTINGS	com.google.android.gms	2
android.permission.RESTRICTED_VR_ACCESS	android	1026
android.permission.CARRIER_FILTER_SMS	android	18
com.google.android.permission.BROADCAST_DATA_MESSAGE	com.google.android.gsf	18
com.google.android.gms.WRITE_VERIFY_APPS_CONSENT	com.google.android.gms	18
android.permission.PERFORM_CDMA_PROVISIONING	android	18
com.google.android.gms.trustagent.permission.TRUSTAGENT_STATE	com.google.android.gms	2
android.permission.BIND_CONNECTION_SERVICE	android	18
android.permission.READ_EXTERNAL_STORAGE	android	1
com.google.android.gm.permission.READ_CONTENT_PROVIDER	com.google.android.gm	1
android.permission.INSTALL_GRANT_RUNTIME_PERMISSIONS	android	770
android.permission.WRITE_SOCIAL_STREAM	android	
android.permission.ACCESS_INSTANT_APPS	android	770
android.permission.CONTROL_REMOTE_APP_TRANSITION_ANIMATIONS	android	18
android.permission.LAUNCH_TRUST_AGENT_SETTINGS	android	18
android.permission.REGISTER_CALL_PROVIDER	android	18
android.permission.GET_PACKAGE_SIZE	android	
android.permission.MODIFY_THEME_OVERLAY	android	2
android.permission.CLEAR_APP_GRANTED_URI_PERMISSIONS	android	2
com.google.android.c2dm.permission.SEND	com.google.android.gsf	18
android.permission.BIND_VPN_SERVICE	android	2
android.permission.systemui.IDENTITY	com.android.systemui	2
android.permission.TRUST_LISTENER	android	2
android.permission.ACCOUNT_MANAGER	android	2
android.permission.MANAGE_USB	android	18
com.google.android.partnersetup.permission.WRITE_APP_PROVIDER	com.google.android.partnersetup	18
android.permission.ACCESS_ALL_DOWNLOADS	com.android.providers.downloads	2
android.permission.ALLOCATE_AGGRESSIVE	android	18
android.permission.INTERACT_ACROSS_USERS_FULL	android	258
android.permission.CHANGE_ACCESSIBILITY_VOLUME	android	2
android.permission.BIND_APPWIDGET	android	18
com.google.android.gms.permission.PHENOTYPE_UPDATE_BROADCAST	com.google.android.gms	2
android.permission.STOP_APP_SWITCHES	android	18
android.permission.RECEIVE_MEDIA_RESOURCE_USAGE	android	18
android.permission.BATTERY_STATS	android	50
